NPSN,Nama_sekolah,Jenjang,Akreditasi,Peserta Didik,Rombel,Guru,Pegawai,R.Kelas,R.Lab,R.Perpus,SPP,Kurikulum,Yayasan,Jumlah Sekolah Naungan Yayasan,Grade Yayasan Sekolah,Tanggal SK Pendirian,Umur,meter listrik,harga_listrik_per_bulan,luas tanah,Harga Tanah Pasaran per kecamatan,estimasi harga tanah sekolah,Website,is_surabaya,is_website,is_agama
20546552,SMA ULUL ALBAB,SMA,A,153,5,14,2,10,5,1,650000,Kurikulum Merdeka,YAYASAN PENDIDIKAN ISLAM AT-THOHIRIYAH,1,1,2007,18,38000,516800000,2500,5500000,13750000000,http://smaululalbab.sch.id,0,1,1
60729409,SMK MADANIA,SMK,B,58,3,7,4,4,1,1,100000,Kurikulum Merdeka,Yayasan Madani,1,1,2010,15,5500,74800000,,1250000,,-,0,0,0
69966930,SDI Mambaul Ulum,SD,A,230,10,14,2,11,1,1,80000,Kurikulum Merdeka,AL MANSHUR,3,3,2017,8,2200,29920000,450,7530000,3388500000,-,0,0,0
69867038,TK ISLAM UNGGULAN AL MASLACHAH,TK,B,148,10,10,1,10,0,1,0,Kurikulum Merdeka,Al - Maslachah,3,3,,,900,12240000,525,2200000,1155000000,-,0,0,1
20532158,SMA PAMARDI PUTRA,SMA,B,41,3,10,2,4,1,1,50000,Kurikulum Merdeka,YAYASAN PAMARDI PUTRA,1,1,1982,43,4500,61200000,810,24000000,19440000000,-,1,0,0
69972212,SMP MUHAMMADIYAH 9 BOARDING SCHOOL TANGGULANGIN,SMP,A,146,6,12,5,9,2,1,0,Kurikulum Merdeka,Pimpinan Daerah Muhammadiyah (PDM) Kab. Sidoarjo,108,9,2018,7,950,12920000,2484,3000000,7452000000,http://www.ponpesannursidoarjo.wordpress.com,0,0,1
20501709,SMK YPM 1 TAMAN SIDOARJO,SMK,A,1754,42,54,5,39,10,1,0,Kurikulum Merdeka,YAYASAN PENDIDIKAN DAN SOSIAL MA`ARIF TAMAN SEPANJANG,25,7,1980,45,100000,1360000000,6845,5500000,37647500000,http://www.smkypm1taman.sch.id,0,1,0
20563213,TK IT NURUL FIKRI,TK,A,133,8,12,2,9,0,1,495000,Kurikulum Merdeka,Yayasan Ponpes Ath Thoyyibah Sidoarjo,4,4,2003,22,23000,312800000,416,2200000,915200000,http://www.nurulfikrisidoarjo.sch.id,0,1,1
20540110,SMK YPM 8 SIDOARJO,SMK,A,1678,41,32,1,25,3,1,0,Kurikulum Merdeka,YAYASAN PENDIDIKAN DAN SOSIAL MA`ARIF TAMAN SEPANJANG,25,7,1995,30,,0,5000,4500000,22500000000,http://smkypm8.sch.id,0,1,0
20501717,SMK ANTARTIKA 1 SIDOARJO,SMK,A,1614,48,57,8,41,2,1,0,Kurikulum Merdeka,YAYASAN PENDIDIKAN WAHYUHANA SURABAYA,6,3,1974,51,,0,6918,3500000,24213000000,http://www.smkantartika1sda.sch.id,0,1,0
20501708,SMK YPM 3 TAMAN,SMK,A,1311,31,36,7,29,4,1,0,Kurikulum Merdeka,YAYASAN PENDIDIKAN DAN SOSIAL MA`ARIF TAMAN SEPANJANG,25,7,1991,34,5000,68000000,3012,5500000,16566000000,http://www.smkypm3taman.sch.id,0,1,0
20563189,TK M HASYIM ASYARI,TK,B,149,6,6,1,6,0,0,0,Kurikulum Merdeka,TKM NU 100 HASYIM ASY'ARI PEPE,1,1,1984,41,5500,74800000,488,5800000,2830400000,-,0,0,0
69816579,KB. CERIA MANDIRI,KB,B,148,14,13,4,10,0,0,0,Kurikulum Merdeka,Insan Mulia Mandiri,1,1,2011,14,10498,142772800,200,5800000,1160000000,-,0,0,0
20561526,TK ISLAM PLUS AS SYAFIIYAH,TK,B,40,2,2,1,2,0,0,100000,Kurikulum Merdeka,Yayasan Pondok Pesantren As-Syafi'iyah,2,2,2007,18,2300,31280000,700,3000000,2100000000,http://www.ponpes-assyafiiyah.com,0,1,1
20558953,SDWIDYA WIYATA,SD,A,147,8,17,2,8,2,2,0,Kurikulum Merdeka,SEKOLAH WIDYA WIYATA,1,1,2007,18,3200,43520000,2400,4500000,10800000000,http://widyawiyataschool.sch.id,0,1,0
